11207.json|53.2522307|18.6042458|Wrocławki|park_ogrod,dworski_palacowy_zamek||Park dworski
9044.json|51.1054715|17.0857752|Wrocław|mieszkalny||Dom jednorodzinny
9045.json|51.1055234|17.0857995|Wrocław|mieszkalny||Dom jednorodzinny
9046.json|51.1055763|17.0858252|Wrocław|mieszkalny||Dom jednorodzinny
9047.json|51.105634|17.0858529|Wrocław|mieszkalny||Dom jednorodzinny
9048.json|51.1056953|17.0858809|Wrocław|mieszkalny||Dom jednorodzinny
9049.json|51.1057482|17.0859054|Wrocław|mieszkalny||Dom jednorodzinny
9050.json|51.1058023|17.0859312|Wrocław|mieszkalny||Dom jednorodzinny
9051.json|51.1058547|17.0859558|Wrocław|mieszkalny||Dom jednorodzinny
9052.json|51.105929|17.0861693|Wrocław|mieszkalny||Dom wielorodzinny
9053.json|51.105929|17.0861693|Wrocław|mieszkalny||Dom wielorodzinny
9057.json|51.1136489|17.033807|Wrocław|mieszkalny||Kamienica
9058.json|51.1136839|17.0339422|Wrocław|mieszkalny||Kamienica
9059.json|51.1137072|17.0341419|Wrocław|mieszkalny||Kamienica
9060.json|51.113739|17.0355938|Wrocław|mieszkalny||Kamienica
9061.json|51.113661|17.0343767|Wrocław|mieszkalny||Kamienica
9062.json|51.1136748|17.035546|Wrocław|mieszkalny||Kamienica
9063.json|51.1049065|17.0364385|Wrocław|dworski_palacowy_zamek||Pałac Leipzigera
9064.json|51.1070211|17.0373908|Wrocław|dworski_palacowy_zamek||Pałac Oppersdorfów
9065.json|51.0721267|16.9977992|Wrocław|||Gmach Akademii Muzycznej
9066.json|51.1112646|17.0321314|Wrocław|mieszkalny||Kamienica
9067.json|51.1133477|17.0327482|Wrocław|mieszkalny||Kamienica
9068.json|51.1133477|17.0327482|Wrocław|mieszkalny||Kamienica
9069.json|51.1131589|17.0324309|Wrocław|mieszkalny||Dom
9081.json|51.1075274|17.0266037|Wrocław|||Bank
9085.json|51.1069877|17.084868|Wrocław|mieszkalny||Willa
9087.json|51.106866|17.085323|Wrocław|mieszkalny||Willa
9088.json|51.1066175|17.0855336|Wrocław|mieszkalny||Willa
9089.json|51.107085|17.0854592|Wrocław|mieszkalny||Willa
9090.json|51.1071512|17.0855585|Wrocław|mieszkalny||Willa
9091.json|51.1072978|17.035447|Wrocław|mieszkalny||Kamienica
9099.json|51.1089776|17.0326689|Wrocław|dworski_palacowy_zamek||Zespół dworski
9105.json|51.0642796|17.080144697|Wrocław|||Wodociągowa wieża ciśnień
9106.json|51.10109385|17.0064683494|Wrocław|katolicki,sakralny||Kościół par. p.w. św. Elżbiety Węgierskiej
9107.json|51.0939042|16.9783145|Wrocław|cmentarny,katolicki,park_ogrod|<p><b>Cmentarz Grabiszyński – druga co do wielkości nekropolia współczesnego Wrocławia. Cmentarz komunalny w swoich obecnych granicach to jedna z trzech części stanowiących w pierwszej połowie XX w. większy kompleks cmentarny. Pozostałe dwie części, na wschód od osi ulicy Grabiszyńskiej, zostały włączone do Parku Grabiszyńskiego.&nbsp;</b></p><p><b>źródło: wikipedia.org</b></p>|Zespół cmentarza Grabiszyńskiego
9113.json|51.1206919|16.8737516|Wrocław|sakralny||Kościół fil. p.w. św. Jadwigi
9114.json|51.1465026|16.8690267|Wrocław|sakralny||Kościół p.w. śś. Jadwigi i Macieja
9115.json|51.1461919|16.8705566|Wrocław|dworski_palacowy_zamek||Zespół pałacowy
9123.json|51.0964128|16.9477495|Wrocław|sakralny||Kościół p.w. św. Michała Archanioła
9124.json|51.0580383|17.0190703|Wrocław|sakralny||Kościół p.w. Wniebowzięcia NMP
9125.json|51.0530648|17.0304692|Wrocław|||Osiedle mieszkaniowe
9126.json|51.1432943|16.9896427324|Wrocław|sakralny||Kościół par. p.w. św. Teresy od Dzieciątka Jezus
9127.json|51.1670184|16.9966652|Wrocław|sakralny||Kaplica Kornów p.w. Nawiedzenia NMP
9143.json|51.1089776|17.0326689|Wrocław|sakralny||Kościół ewang., ob. rzym.-kat. p.w. św. Anny
9144.json|51.1742967|16.9095684|Wrocław|mieszkalny,sakralny||Plebania ewangelicka, ob. rzym.-kat.
9145.json|51.1719642|16.9033511|Wrocław|||Zespół szpitalny ob. zespół szkół rolniczych
9165.json|51.1089776|17.0326689|Wrocław|||Układ urbanistyczny dzielnicy Psie Pole
9166.json|51.1453546|17.1105082|Wrocław|katolicki,sakralny||Kościół rzymskokatolicki pw. św. Jakuba i Krzysztofa
9172.json|51.1089776|17.0326689|Wrocław|||Zespół stacji pomp
9189.json|51.17875615|17.0161810711|Wrocław|katolicki,protestancki,sakralny||Kościół p.w. św. Anny
9191.json|51.1237129|16.919394|Wrocław|katolicki,sakralny||Kościół rzymskokatolicki p.w. św. Wawrzyńca
9285.json|51.0313425|16.7633012|Kąty Wrocławskie|||Ośrodek historyczny miasta
9286.json|51.0313425|16.7633012|Kąty Wrocławskie|sakralny||Kościół par. p.w. śś. Piotra i Pawła
9287.json|51.0313425|16.7633012|Kąty Wrocławskie|uzytecznosci_publicznej,sakralny|<p></p><p>Dawny kościół ewangelicki p.w. św. Elżbiety. Po  sekularyzacji majątków kościelnych w 1810 r. w Prusach, została zniesiona  zwierzchność biskupa wrocławskiego nad Kątami. Ta zmiana spowodowała <span style="font-family: Arial, Helvetica, Verdana, Tahoma, sans-serif; font-size: 15px; line-height: 1.45em;">uaktywnienie i&nbsp;</span>wzrost liczby członków wspólnoty ewangelickiej w Kątach. W  wyniku podjętych przez nich działań, w 1836 roku, w rynku obok wieży miejskiej, stanął  kościół wg projektu K. F. Schinkla. Nabożeństwa w obrządku ewangelickim były w  nim odprawiane do roku 1945. Po wojnie pełnił różne funkcje, obecnie na  parterze jest sklep, na piętrze Regionalna Izba Pamięci.</p><p>Więcej o historii obiektu na stronie  społecznościowej. &nbsp;</p><br><p></p>|Dawny kościół ewangelicki, obecnie obiekt handlowy i Regionalna Izba Pamięci
9288.json|51.035049|16.7702588|Kąty Wrocławskie|cmentarny||Zespół cmentarza ewang., ob. komunalny
9291.json|51.0313425|16.7633012|Kąty Wrocławskie|militarny|<p><p>Pierwsza wzmianka źródłowa o murach obronnych Kątów pochodzi z  1428 roku. Remontowane w 1587 r. Obecnie z dawnych obwarowań zachował się tylko  fragment przy kościele kat. (murowany z cegły, z kilkoma otworami strzelniczymi) oraz odcinek  późniejszy z XIX w. przy plebanii. Więcej o historii zabytku na stronie społecznościowej.</p></p>|Mury obronne (fragmenty)
9292.json|51.0313425|16.7633012|Kąty Wrocławskie|uzytecznosci_publicznej|<p>Dolna część wieży miejskiej - trzykondygnacyjna na planie kwadratu, w narożach zwieńczona rzeźbami 4 lwów wspartych na tarczach - pochodzi prawdopodobnie z XV w. Górna, również trzykondygnacyjna, ośmioboczna została dobudowana w 1613 r. Od strony południowej zachowała się tablica fundacyjna z 1613 r., od strony północnej natomiast - trzy tablice heraldyczno-inskrypcyjne z piaskowca. Neoromański portal wejściowy wykonano w tym samym roku, co budynek ratusza - pochodzi z 1878 r.  "Katalog zabytków sztuki w Polsce" J. Pokora, M. Zlata; W-wa, 1991</p>|Wieża miejska
9345.json|51.03656|16.969463|Bielany Wrocławskie|dworski_palacowy_zamek||Zespół dworski
9348.json|51.03656|16.969463|Bielany Wrocławskie|||Spichrz
9505.json|51.0328526|17.0569906|Żerniki Wrocławskie|park_ogrod,dworski_palacowy_zamek||Park pałacowy
